MajorRequirementID,MajorID,CourseMainID,CourseAltID
1,113,739,740
2,113,945,
3,113,247,
4,113,1094,1093
5,113,148,
6,113,682,688
7,113,248,
8,113,872,871
9,113,690,689
10,113,328,327
11,113,873,874
12,113,259,258
13,113,683,684
14,113,301,304
15,113,951,
16,113,1140,692
17,113,439,716
18,113,302,303
19,113,686,687
20,113,731,1139
21,113,615,614
22,113,611,612
23,113,1097,1096
24,113,242,241
25,36,1094,1093
26,36,945,
27,36,247,
28,36,148,
29,36,682,688
30,36,248,
31,36,872,871
32,36,150,
33,36,731,1139
34,36,873,874
35,36,152,
36,36,253,251
37,36,1140,692
38,36,301,304
39,36,439,716
40,36,255,256
41,36,735,691
42,36,298,
43,36,838,839
44,36,502,503
45,36,1097,1096
